ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2010,1100015,54.6,452,30,248
2011,1100015,60.6,475,32.1,252
2012,1100015,62.1,484,34,265
2013,1100015,67,559,57.3,478
2014,1100015,45.2,376,36.8,306
2015,1100015,51.8,429,44.9,372
2016,1100015,56,463,46.5,384
2017,1100015,59,486,47.3,390
2018,1100015,58.5,439,49.3,370
2019,1100015,47.2,351,42.6,317
2010,1100023,74.1,2287,40.9,1263
2011,1100023,72.7,2268,40,1249
2012,1100023,75.8,2396,41.2,1300
2013,1100023,72.5,2499,64.7,2233
2014,1100023,66.9,2343,51.6,1809
2015,1100023,65.7,2338,50.4,1791
2016,1100023,70,2524,53.6,1934
2017,1100023,71.4,2609,53.6,1958
2018,1100023,75.7,2737,56.4,2039
2019,1100023,65.4,2403,55.3,2032
2010,1100031,75.8,179,42.4,100
2011,1100031,97.3,183,52.7,99
2012,1100031,94,173,53.8,99
2013,1100031,93.9,183,84.1,164
2014,1100031,77.8,150,66.4,128
2015,1100031,72.4,138,64.5,123
2016,1100031,57.8,109,54.6,103
2017,1100031,43.9,82,38,71
2018,1100031,53.9,88,49.6,81
2019,1100031,60.2,96,59.6,95
2010,1100049,79.7,1916,42.8,1030
2011,1100049,81.1,1893,43.7,1020
2012,1100049,79.6,1865,42.3,991
2013,1100049,73.5,1865,65.7,1666
2014,1100049,68.7,1756,54.9,1403
2015,1100049,74.3,1915,56.3,1452
2016,1100049,78.8,2045,60.9,1582
2017,1100049,72.9,1907,55.2,1444
2018,1100049,82.8,2074,61.2,1534
2019,1100049,70.9,1787,62.7,1581
2010,1100056,77.5,435,44.4,249
2011,1100056,88.7,438,52.4,259
2012,1100056,83.3,409,44.8,220
2013,1100056,74.6,392,65.4,344
2014,1100056,78.7,413,64,336
2015,1100056,80.9,424,60.9,319
2016,1100056,91.4,478,67.5,353
2017,1100056,85,444,61.6,322
2018,1100056,87.2,418,66.4,318
2019,1100056,72.1,343,63.9,304
2010,1100064,60.1,344,30.6,175
2011,1100064,67.6,356,32.4,171
2012,1100064,56.6,294,27.9,145
2013,1100064,57.8,318,52.1,287
2014,1100064,47.9,261,38.2,208
2015,1100064,47.6,257,39.6,214
2016,1100064,58.2,311,45.1,241
2017,1100064,62.9,333,45.1,239
2018,1100064,85.7,399,65.5,305
2019,1100064,76.4,348,69.4,316
2010,1100072,40.3,117,21.7,63
2011,1100072,50.8,134,25.4,67
2012,1100072,45.8,119,19.6,51
2013,1100072,32,88,29.8,82
2014,1100072,41.8,114,36.3,99
2015,1100072,50.8,137,43.4,117
2016,1100072,58.9,157,51.4,137
2017,1100072,65.2,172,55.3,146
2018,1100072,78,180,66.8,154
2019,1100072,67.5,152,67,151
2010,1100080,72.3,449,44.3,275
2011,1100080,77.4,453,49.4,289
2012,1100080,74.7,447,43,257
2013,1100080,71.9,475,62.2,411
2014,1100080,55.5,376,44.3,300
2015,1100080,53.5,371,43.7,303
2016,1100080,54.4,386,42.8,304
2017,1100080,48.7,353,39,283
2018,1100080,48.5,361,37.2,277
2019,1100080,48.7,372,43.9,335
2010,1100098,49.4,510,24.1,249
2011,1100098,62.4,585,29.7,278
2012,1100098,63.2,597,31.6,299
2013,1100098,56.3,578,49.9,512
2014,1100098,50.1,520,41.5,431
2015,1100098,54.7,574,43.8,459
2016,1100098,61.9,656,54.1,573
2017,1100098,57.8,618,49.5,529
